Year,Women_Labor_Force_Participation_Pct,Dual_Income_Households_Pct,Real_Wage_Index_Male_1970_100,Gini_Coefficient,Top_1_Pct_Income_Share,House_Price_to_Income_Ratio,Median_Household_Income_2020_Dollars
1950,33.9,,,0.386,10.0,1.8,
1960,37.7,,,0.368,8.4,2.0,38000.0
1970,43.3,39.0,100.0,0.394,8.0,2.2,50000.0
1980,51.5,,98.0,0.403,8.5,2.8,48500.0
1990,57.5,,92.0,0.428,13.9,3.2,54600.0
2000,59.9,57.0,95.0,0.462,16.5,4.0,62500.0
2010,58.6,60.0,88.0,0.469,18.3,4.5,60000.0
2020,57.4,62.0,90.0,0.485,20.5,4.7,67500.0
